,published_at,source,votes,currencies
0,2021-09-30T00:20:00Z,"{'title': 'CryptoGlobe', 'region': 'en', 'domain': 'cryptoglobe.com', 'path': None}","{'negative': 0, 'positive': 11, 'important': 7, 'liked': 8, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","[{'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]"
1,2021-09-30T00:08:19Z,"{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None}","{'negative': 0, 'positive': 9, 'important': 5, 'liked': 8, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 2}",
2,2021-09-29T22:14:40Z,"{'title': 'Bitcoinist', 'region': 'en', 'domain': 'bitcoinist.com', 'path': None}","{'negative': 0, 'positive': 16, 'important': 8, 'liked': 13, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]"
3,2021-09-29T21:33:24Z,"{'title': 'The Block', 'region': 'en', 'domain': 'theblockcrypto.com', 'path': None}","{'negative': 0, 'positive': 11, 'important': 5, 'liked': 7, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 2}","[{'code': 'AVAX', 'title': 'Avalanche', 'slug': 'avalanche-2', 'url': 'https://cryptopanic.com/news/avalanche-2/'}]"
4,2021-09-29T21:00:24Z,"{'title': 'Bitcoinist', 'region': 'en', 'domain': 'bitcoinist.com', 'path': None}","{'negative': 1, 'positive': 3, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}","[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]"
5,2021-09-29T20:30:28Z,"{'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None}","{'negative': 0, 'positive': 6, 'important': 4, 'liked': 6, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","[{'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}]"
6,2021-09-29T20:30:01Z,"{'title': 'Anthony Pompliano', 'region': 'en', 'domain': 'youtube.com', 'path': None}","{'negative': 0, 'positive': 6, 'important': 7, 'liked': 6, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 1}",
7,2021-09-29T19:45:00Z,"{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None}","{'negative': 0, 'positive': 5, 'important': 3, 'liked': 4, 'disliked': 0, 'lol': 1, 'toxic': 0, 'saved': 0, 'comments': 4}","[{'code': 'USDT', 'title': 'Tether', 'slug': 'tether', 'url': 'https://cryptopanic.com/news/tether/'}]"
8,2021-09-29T19:14:02Z,"{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","{'negative': 17, 'positive': 4, 'important': 10, 'liked': 2, 'disliked': 26, 'lol': 6, 'toxic': 0, 'saved': 1, 'comments': 13}","[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]"
9,2021-09-29T18:47:16Z,"{'title': 'CryptoGlobe', 'region': 'en', 'domain': 'cryptoglobe.com', 'path': None}","{'negative': 3, 'positive': 33, 'important': 20, 'liked': 29, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 0}","[{'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}]"
