"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"1",2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,279717107.433719,177728,11346.326739,158080088.683317,"up",20.04
"2",2018-01-03,14690,15307.56,14150,14919.51,15905.667639,236116868.33619,162787,8994.953566,133587333.245348,"up",8.18
"3",2018-01-04,14919.51,15280,13918.04,15059.54,21329.649574,312781583.798308,170310,12680.812951,186116793.011589,"up",9.79
"4",2018-01-05,15059.56,17176.24,14600,16960.39,23251.491125,369321956.486838,192969,13346.622293,211829900.678982,"up",17.65
"5",2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,309216920.98641,158242,11007.164056,183417769.062377,"up",7.07
"6",2018-01-07,17069.79,17099.96,15610,16150.03,12493.125558,206194706.370684,120269,6779.320508,112151163.127435,"down",9.54
"7",2018-01-08,16218.85,16322.3,12812,14902.54,26600.609912,396569997.157463,208642,13756.844389,206049582.136688,"down",27.4
"8",2018-01-09,14902.54,15500,14011.05,14400,14315.004253,210630187.457669,156656,6841.233287,100698572.900021,"down",10.63
"9",2018-01-10,14401,14955.66,13131.31,14907.09,17411.001655,244011366.763028,161476,8529.554675,119570139.806453,"up",13.89
"10",2018-01-11,14940,14968.68,11400,13238.78,33554.723751,446587594.693738,239416,16422.01998,218762237.37911,"down",31.3
"11",2018-01-12,13238.76,14109.78,12500,13740.01,16417.162137,222516076.271459,134452,8117.312075,110040020.181478,"up",12.88
"12",2018-01-13,13749.95,14580,13706.15,14210,12221.508528,173086488.547884,123639,5574.178408,78958098.9463857,"up",6.38
"13",2018-01-14,14210,14339.5,12569.2,13474.99,17017.894329,226525305.129381,152364,8288.382911,110381556.672599,"down",14.08
"14",2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,200614554.538343,145362,7431.063272,101748315.637071,"up",8.38
"15",2018-01-16,13500,13542.93,9035,10900,63401.169175,722150828.149402,418243,30353.401717,346777069.933746,"down",49.89
"16",2018-01-17,10899.99,11680.99,9037.94,10988.79,72331.796646,744154180.131206,517293,35412.798137,365047291.430379,"up",29.24
